lgb_w,xgb_w,cat_w,auc
0.75,0.15000000000000002,0.1,0.7927854770578415
0.8,0.15000000000000002,0.05,0.7927796238413524
0.75,0.2,0.05,0.7927780318622253
0.7000000000000001,0.2,0.1,0.7927767563694609
0.8,0.1,0.1,0.7927761328015536
0.7000000000000001,0.15000000000000002,0.15000000000000002,0.7927655691964123
0.8500000000000001,0.1,0.05,0.7927643327478905
0.75,0.1,0.15000000000000002,0.7927623249618273
0.7000000000000001,0.25,0.05,0.7927568899747273
0.8,0.2,0.0,0.7927529701607436
0.65,0.2,0.15000000000000002,0.7927515883650408
0.65,0.25,0.1,0.7927509811843159
0.8500000000000001,0.15000000000000002,0.0,0.7927496038060271
0.8500000000000001,0.05,0.1,0.7927489099869822
0.8,0.05,0.15000000000000002,0.792739867397344
0.75,0.25,0.0,0.7927382583185487
0.9,0.05,0.05,0.7927322826969332
0.9,0.1,0.0,0.7927293408414843
0.7000000000000001,0.1,0.2,0.7927222591563184
0.65,0.15000000000000002,0.2,0.7927209792461397
0.6000000000000001,0.25,0.15000000000000002,0.7927205801113799
0.65,0.30000000000000004,0.05,0.7927190234715678
0.6000000000000001,0.30000000000000004,0.1,0.7927085948113095
0.75,0.05,0.2,0.7927061883179782
0.7000000000000001,0.30000000000000004,0.0,0.7927059607498914
0.9,0.0,0.1,0.7927041621497715
0.6000000000000001,0.2,0.2,0.7927020004666926
0.8500000000000001,0.0,0.15000000000000002,0.7927007537583699
0.9500000000000001,0.05,0.0,0.7926916811018149
0.9500000000000001,0.0,0.05,0.7926822654544113
0.8,0.0,0.2,0.7926719616217324
0.55,0.30000000000000004,0.15000000000000002,0.7926714001826201
0.55,0.25,0.2,0.7926643377345813
0.6000000000000001,0.35000000000000003,0.05,0.7926633922654168
0.65,0.1,0.25,0.7926576377995123
0.65,0.35000000000000003,0.0,0.7926559674469054
0.6000000000000001,0.15000000000000002,0.25,0.7926508887028969
0.7000000000000001,0.05,0.25,0.7926470994163819
0.55,0.35000000000000003,0.1,0.7926466028135124
1.0,0.0,0.0,0.7926354180629169
0.55,0.2,0.25,0.7926258827178347
0.75,0.0,0.25,0.7926184849737983
0.5,0.30000000000000004,0.2,0.7926092829297523
0.5,0.35000000000000003,0.15000000000000002,0.7926050053052078
0.55,0.4,0.05,0.792591365897215
0.6000000000000001,0.4,0.0,0.7925896832898456
0.5,0.25,0.25,0.7925818999482872
0.6000000000000001,0.1,0.30000000000000004,0.7925683069943935
0.5,0.4,0.1,0.7925681558048254
0.65,0.05,0.30000000000000004,0.792563249909965
0.55,0.15000000000000002,0.30000000000000004,0.79255464236439
