feature,mean,std,min,max
EXT_SOURCE_MEAN,911649.4428011576,25081.588941326398,891652.308303833,939791.1096401215
EXT_SOURCE_INCOME_INTERACTION,274280.89789072674,59103.205756989104,216885.71551322937,334955.5701007843
RISK_SCORE_1,257819.72879219055,41649.951037842045,219155.2035293579,301921.1110305786
RISK_SCORE_2,249286.43429470062,7050.362787362997,243187.4377040863,257005.97497463226
ANNUITY_CREDIT_PERCENT,202894.2940648397,5773.603859777169,199033.1685810089,209531.58433532715
EXT_SOURCE_CREDIT_INTERACTION,137512.78538449606,16038.729209215098,119856.3100643158,151181.21871185303
CREDIT_GOODS_RATIO,122882.49414563179,6051.966230332225,117085.23806381226,129160.49516010284
EXT_SOURCE_WEIGHTED,115649.75940513611,20412.973480706565,103852.33995437622,139220.62681007385
EXT_SOURCE_MIN,104865.76007715861,18373.23584240348,86488.34574890137,123234.81458091736
AMT_ANNUITY,97397.37330929439,8240.06697011999,88051.63603782654,103616.7217578888
POS_RECENT_CNT_INSTALMENT_FUTURE_mean,85275.53104686737,2543.7564518702447,83662.22685813904,88207.89104270935
WORKING_AGE_RATIO,84102.35599581401,7161.320801329794,79303.70431900024,92333.85314369202
DAYS_BIRTH,79279.15796120961,3524.3649655965482,75896.58438682556,82929.98434257507
RECENT_PAY_PAYMENT_DELAY_max,76581.95129521687,6791.378387063454,68964.58776283264,82004.5258731842
DAYS_ID_PUBLISH,75881.16552607219,5035.774449508428,70604.7499332428,80635.64437675476
CC_RECENT_UTILIZATION_max,72235.26933670044,3765.604633399737,68947.69341850281,76343.53730010986
AGE_YEARS,71073.49175198872,2250.83004041556,68715.28583145142,73198.84230041504
EXT_SOURCE_PROD,68710.5602016449,7217.056018416935,60612.4444732666,74462.9350681305
EXT_SOURCE_3,67627.03701146443,6244.827225429697,63514.01848602295,74812.89087486267
DAYS_CREDIT_max,65546.57215754192,8438.5767868685,57479.903341293335,74313.42733192444
NAME_EDUCATION_TYPE,65258.44985262553,2084.6014533590105,63293.245334625244,67444.81355857849
PREV_REFUSAL_RATE,63662.52462704977,3973.740092397066,59256.17084693909,66974.14416122437
CODE_GENDER,62516.43448511759,2994.0094685942568,59678.5871219635,65645.34631156921
CNT_INSTALMENT_FUTURE_mean,62355.5303328832,6745.067997499232,56275.363651275635,69611.01663589478
AMT_PAYMENT_sum,61657.0784146587,6031.7383879771905,54994.162211596966,66745.24614906311
AMT_GOODS_PRICE,61607.43231741587,6498.5094102159,54763.10087585449,67693.61190700531
AMT_DOWN_PAYMENT_max,60498.21434108416,3029.3148575765854,58250.923780441284,63943.284261226654
CNT_PAYMENT_mean,58653.68465105692,4337.790458081125,54430.69593048096,63097.817165374756
DAYS_REGISTRATION,58111.56322701772,12976.74189044258,43161.37601852417,66461.16064167023
DAYS_LAST_PHONE_CHANGE,55686.6078414917,9191.369121362011,47179.91516876221,65436.17116355896
EXT_SOURCE_2,53880.99566205343,12597.886912209304,42086.768297195435,67152.31474590302
AMT_CREDIT,53406.60188102722,2786.1965637062917,51523.41431236267,56607.19870376587
INCOME_PER_AGE,51763.2052582105,7064.020020505207,43968.0856590271,57741.02025270462
ANNUITY_INCOME_RATIO,51493.42400487264,9284.576807370637,40780.665897369385,57211.71021461487
AMT_PAYMENT_min,50598.16394074758,9126.353913718793,40572.616830825806,58422.812247276306
REGION_POPULATION_RELATIVE,47783.78525002798,9639.399650575537,37004.03431510925,55574.8589515686
RECENT_PAY_PAYMENT_DELAY_sum,47710.06844393412,2005.6804803610703,45453.90517616272,49290.974184036255
EMPLOYMENT_YEARS,46836.11444155375,5518.618971426199,40926.77812385559,51855.96142196655
EXT_SOURCE_MAX,46622.6466849645,10425.774233863602,36431.926429748535,57268.56389141083
RECENT_AMT_CREDIT_SUM_sum,44137.28762435913,6391.935678272542,36872.46925354004,48898.25883483887
CREDIT_AMOUNT_TREND,42692.99502595266,4380.8601755035725,38192.137912750244,46943.086007118225
EXT_SOURCE_1,42613.078201293945,3502.881433538409,38592.667932510376,45007.21599960327
AVG_TIME_BETWEEN_APPS,42226.24215872089,4476.249299105001,37245.80172729492,45913.63304710388
DAYS_EMPLOYED,40604.93708626429,3065.947731020518,38168.05789756775,44047.3933968544
DAYS_DECISION_max,40150.5214881897,3076.8605663898943,36617.92716217041,42244.92525100708
DEBT_PER_EXPERIENCE,40011.49762980143,8045.634173377074,30991.181718826294,46447.18276023865
AMT_CREDIT_SUM_mean,38995.922454833984,1343.660226629247,37701.60858345032,40384.01562690735
AMT_DOWN_PAYMENT_mean,38104.18532435099,6962.803256008423,31163.130882263184,45088.53547859192
AMT_CREDIT_SUM_max,37973.30081939697,6837.043941386878,33393.94470977783,45832.29598426819
PAYMENT_DELAY_std,37553.117668787636,7644.337035986348,29359.446977615356,44493.139461517334
AMT_INSTALMENT_sum,37324.5632985433,3878.07913167911,32846.68058395386,39593.87812042236
DAYS_CREDIT_mean,37292.44424931208,1908.0417967508058,36072.74840927124,39491.279281139374
DAYS_DECISION_mean,36912.72359720866,7772.166788066731,27981.703924179077,42142.59086418152
LATE_PAYMENT_mean,36309.35318271319,1897.4420646079193,34451.93241119385,38244.43201327324
RATE_DOWN_PAYMENT_max,36198.47761917114,5351.494047700707,31516.44426727295,42031.97354507446
POS_MONTHS_COUNT,35801.359326680504,565.2091205062158,35423.817251205444,36451.17031478882
PAYMENT_DELAY_mean,35186.486012776695,5338.425205045524,29040.73857498169,38673.03229904175
MONTHS_BALANCE_max_y,34844.35874430338,3471.418618766444,31025.123260498047,37807.93448638916
DAYS_DECISION_min,34811.42342503866,9632.808978359595,24182.958736419678,42966.04528236389
OLD_AMT_CREDIT_SUM_sum,34184.73618809382,2371.3999622520882,31475.072073459625,35881.369460105896
DAYS_CREDIT_min,33964.296084721886,7219.519946912517,25987.979537963867,40051.32286834717
MONTHS_BALANCE_min_y,33752.619719187416,4340.862493026132,29507.072872161865,38182.89962387085
POS_ACTIVE_COUNT,33179.0706653595,1280.0944303615638,31816.958126068115,34357.247467041016
RECENT_AMT_CREDIT_SUM_max,33094.27861952782,2168.001136886682,30762.399118423462,35048.87699317932
AMT_PAYMENT_mean,33007.68360519409,5180.026657249051,27449.030164718628,37699.78451919556
AMT_INSTALMENT_max,32812.85148239136,659.2870655443107,32136.3988571167,33453.51509284973
AVG_CREDIT_PER_BUREAU_LOAN,32808.71131896973,5849.0478486985385,27104.64875984192,38792.69302558899
PAYMENT_DELAY_TREND,32729.13495540619,5984.742863621644,25876.56552886963,36929.284214019775
RECENT_PAY_PAYMENT_DELAY_mean,32529.28651682536,6676.979777893595,26406.2173538208,39648.29284477234
OCCUPATION_TYPE,32177.603613535564,5379.738043349722,25970.987701416016,35504.56443595886
PAYMENT_DELAY_max,31626.97490151723,4217.453615649721,27558.281993865967,35978.91030025482
INCOME_PER_FAMILY_MEMBER,31248.81718126933,3927.4128450311437,26788.703254699707,34189.584688186646
PREV_LOAN_AMOUNT_TREND,31119.57996590932,5058.492583892122,25560.245428085327,35451.24492931366
INCOME_CREDIT_RATIO,30574.560167312622,2638.807389868901,27590.93349456787,32601.895071029663
OLD_AMT_CREDIT_SUM_mean,30563.371806144714,3983.983098026642,26122.823574066162,33824.44843673706
POS_COMPLETION_RATE,30474.339651743572,6206.892226613728,23964.222995758057,36325.4135723114
ORGANIZATION_TYPE,30148.506239573162,4343.028264374729,25659.630239486694,34329.27806854248
OWN_CAR_AGE,29926.763160069782,2107.84797105936,28181.192281723022,32268.480115890503
AMT_CREDIT_SUM_sum,29627.796930631,2948.8153264157545,26309.514808654785,31948.19788646698
CNT_INSTALMENT_mean,29620.83612569173,3715.5010140795466,25359.94677734375,32185.52066040039
PAYMENT_IMPROVEMENT,29285.34021981557,5578.261832453039,23004.26333808899,33662.025891304016
LATE_PAYMENT_RATIO,28891.97859096527,4390.258057753504,25269.916034698486,33774.63206958771
AMT_INSTALMENT_mean,28508.19499047597,3019.918920832022,25113.94556427002,30897.572123527527
AMT_PAYMENT_max,28450.20471604665,1701.7329162619067,26540.929250717163,29807.204619407654
AMT_APPLICATION_mean,27606.325861612957,4382.433238679864,22815.352712631226,31412.717573165894
RATE_DOWN_PAYMENT_mean,27413.644196192425,3208.032788753033,23967.11947631836,30312.736003875732
OLD_PAY_PAYMENT_DELAY_mean,27405.34762128194,1998.0747652659377,25578.80972480774,29539.322206497192
PAYMENT_DELAY_min,27212.112850824993,2848.9963547527022,23929.288829803467,29038.13272857666
OLD_PAY_NUM_INSTALMENT_NUMBER_count,26405.961208661396,5306.123707282292,20742.87010383606,31262.84578227997
